,ticker,Pct_Change_Dec2007_June_2009,Pct_Change_Dec2009_June_2011
399,ASR,-31.482131472053354,24.551017916932455
400,ASRV,-34.035085679274616,42.66667366027799
401,ASRVP,-8.898306557310839,32.517833271488705
402,ASTC,-18.471335374277427,-27.6729542395863
403,ASTE,-4.256541624249344,51.74394037238601
404,ASUR,-64.0000009536744,39.13053010518035
406,ASX,-25.73304879006166,60.45917957735673
407,ASYS,-48.66264252864068,249.17219016202833
411,ATAX,-16.666665462532436,7.22221962218435
412,ATEC,-27.826087677636576,-18.640351855621425
414,ATGE,-2.664849126533823,17.694062013070084
417,ATHN,0.9271888998233999,3.6221560570554376
418,ATHX,-75.49999952316286,193.87755697839037
419,ATI,-48.50613352993034,90.30198469491096
